# 日期缓存（由 fetch.py 自动维护，请勿手动编辑）
# video_id	epoch_ms	precision	source	最近确认时间(UTC)
# precision=absent 表示该视频经查无存档快照，下轮不再重复查询
# probe_blocked_until=2026-09-29（单视频接口此前整体被风控，到期前不再探测）
PteAx-4BZpw	0	absent	wayback	2026-09-15 20:59:48
PxH8_ZGMG5E	0	absent	wayback	2026-09-15 20:59:48
Q9fH-hUVrjg	0	absent	wayback	2026-09-15 20:59:48
QNEx-__I0n0	0	absent	wayback	2026-09-15 20:59:48
R9Jxv6fOMCU	0	absent	wayback	2026-09-15 20:59:48
SSiIyKNv-Jw	0	absent	wayback	2026-09-15 20:59:48
Sc8sNw4QQXY	0	absent	wayback	2026-09-15 20:59:48
Sitk5nB6uiY	0	absent	wayback	2026-09-15 20:59:48
Ss-gkibkTJs	0	absent	wayback	2026-09-15 20:59:48
TNreVYIyWCE	0	absent	wayback	2026-09-15 20:59:48
TXELwy11uos	0	absent	wayback	2026-09-15 20:59:48
U2VkZT37r9w	0	absent	wayback	2026-09-15 20:59:48
UWBNcMyfiGQ	0	absent	wayback	2026-09-15 20:59:48
UrUqPIFep1s	0	absent	wayback	2026-09-15 20:59:48
V3HuKQvRBUE	0	absent	wayback	2026-09-15 20:59:48
V6vURqcKc_0	0	absent	wayback	2026-09-15 20:59:48
VPohbSeiImA	0	absent	wayback	2026-09-15 20:59:48
VUfJWuhmygA	0	absent	wayback	2026-09-15 20:59:48
ViMocu_iPOU	0	absent	wayback	2026-09-15 20:59:48
VlpYy5WywE0	0	absent	wayback	2026-09-15 20:59:48
WDVf7ICcL7o	0	absent	wayback	2026-09-15 20:59:48
WQvUYhmIN6c	0	absent	wayback	2026-09-15 20:59:48
W_j9UKYyoHs	0	absent	wayback	2026-09-15 20:59:48
WhcfBLop5gM	0	absent	wayback	2026-09-15 20:59:48
X4dt1lRBMrc	0	absent	wayback	2026-09-15 20:59:48
XE2dkgWyXvs	0	absent	wayback	2026-09-15 20:59:48
Z6_ge_Ee9lQ	0	absent	wayback	2026-09-15 20:59:48
ZXpx_D89vtc	0	absent	wayback	2026-09-15 20:59:48
ZhBIlOeaLgw	0	absent	wayback	2026-09-15 20:59:48
_5y5vHbJoak	0	absent	wayback	2026-09-15 20:59:48
_9PkKB_7KyU	0	absent	wayback	2026-09-15 20:59:48
_MVenGQuK0k	0	absent	wayback	2026-09-15 20:59:48
_oM9dRzISNQ	0	absent	wayback	2026-09-15 20:59:48
aDh8-l7DDbM	0	absent	wayback	2026-09-15 20:59:48
a_hiwU67HpM	0	absent	wayback	2026-09-15 20:59:48
ao4b_pEiYno	0	absent	wayback	2026-09-15 20:59:48
bEMGr5i3uGs	0	absent	wayback	2026-09-15 20:59:48
bR_LAr_mOCw	0	absent	wayback	2026-09-15 20:59:48
bX33R5uk-Kc	0	absent	wayback	2026-09-15 20:59:48
btjanPf8tpU	0	absent	wayback	2026-09-15 20:59:48
cGvhxfDFnTM	0	absent	wayback	2026-09-15 20:59:48
cL3qquxPlCo	0	absent	wayback	2026-09-15 20:59:48
cjMZV2d1HIw	0	absent	wayback	2026-09-15 20:59:48
ctGNK_0SjOg	0	absent	wayback	2026-09-15 20:59:48
dSqCich0Dp4	0	absent	wayback	2026-09-15 20:59:48
drQQ41st7hs	0	absent	wayback	2026-09-15 20:59:48
eMJDK_kmrxw	0	absent	wayback	2026-09-15 20:59:48
etpRI-LSvaM	0	absent	wayback	2026-09-15 20:59:48
fQyjz86GBcE	0	absent	wayback	2026-09-15 20:59:48
fapWo77XZEU	0	absent	wayback	2026-09-15 20:59:48
flvzaovQmVo	0	absent	wayback	2026-09-15 20:59:48
fqXK4-Y1Tc0	0	absent	wayback	2026-09-15 20:59:48
g3uIFYmKxYU	0	absent	wayback	2026-09-15 20:59:48
gQDJURJ6tsc	0	absent	wayback	2026-09-15 20:59:48
gSP_953YMF8	0	absent	wayback	2026-09-15 20:59:48
gZTtQW5wXJI	0	absent	wayback	2026-09-15 20:59:48
gcOsSeBqXoo	0	absent	wayback	2026-09-15 20:59:48
gqcu3yEkQ7g	0	absent	wayback	2026-09-15 20:59:48
grV8IvIqeUs	0	absent	wayback	2026-09-15 20:59:48
gs0V4WTSc7g	0	absent	wayback	2026-09-15 20:59:48
hHinp3QxHEQ	0	absent	wayback	2026-09-15 20:59:48
heDx9ig28dw	0	absent	wayback	2026-09-15 20:59:48
hv-t0Kyx9hg	0	absent	wayback	2026-09-15 20:59:48
hyEVmFxk_vc	0	absent	wayback	2026-09-15 20:59:48
iX5uPvi33Zo	0	absent	wayback	2026-09-15 20:59:48
iqVsKWMmMe0	0	absent	wayback	2026-09-15 20:59:48
jKf67grhc4w	0	absent	wayback	2026-09-15 20:59:48
jPNCexBwYyM	0	absent	wayback	2026-09-15 20:59:48
jVBFYM58M-0	0	absent	wayback	2026-09-15 20:59:48
jnkPiqViRho	0	absent	wayback	2026-09-15 20:59:48
jtTLS6Vj3xc	0	absent	wayback	2026-09-15 20:59:48
kFCp4pE_iZs	0	absent	wayback	2026-09-15 20:59:48
kM8Wf1Xn1VU	0	absent	wayback	2026-09-15 20:59:48
kNWIfwsB2ac	0	absent	wayback	2026-09-15 20:59:48
kulzx3wKm4s	0	absent	wayback	2026-09-15 20:59:48
l6mstvvQEnM	0	absent	wayback	2026-09-15 20:59:48
liIfedPclBY	0	absent	wayback	2026-09-15 20:59:48
llvRHCqWlQw	0	absent	wayback	2026-09-15 20:59:48
m9O0Ha3jFNM	0	absent	wayback	2026-09-15 20:59:48
mHhs5OdNCJw	0	absent	wayback	2026-09-15 20:59:48
mLI_p_yERNE	0	absent	wayback	2026-09-15 20:59:48
n1kZ4yKNbfg	0	absent	wayback	2026-09-15 20:59:48
ndMDK_UHv-U	0	absent	wayback	2026-09-15 20:59:48
njV70etcQYM	0	absent	wayback	2026-09-15 20:59:48
oCxTZEKQ8Oc	0	absent	wayback	2026-09-15 20:59:48
oKZL7wHOra8	0	absent	wayback	2026-09-15 20:59:48
pWB7oGbd8Yo	0	absent	wayback	2026-09-15 20:59:48
pjC2VrqTdhw	0	absent	wayback	2026-09-15 20:59:48
q4IS-Q9pjpg	0	absent	wayback	2026-09-15 20:59:48
qGaBg0s1B8E	0	absent	wayback	2026-09-15 20:59:48
qH50C5nXC8U	0	absent	wayback	2026-09-15 20:59:48
qJ14L7thYvE	0	absent	wayback	2026-09-15 20:59:48
qNFbpvuOJXk	0	absent	wayback	2026-09-15 20:59:48
qnVVDYD9S5k	0	absent	wayback	2026-09-15 20:59:48
r0KkxpHP99c	0	absent	wayback	2026-09-15 20:59:48
r6IFek6aefM	0	absent	wayback	2026-09-15 20:59:48
s2JjrX2WGO4	0	absent	wayback	2026-09-15 20:59:48
sndDmsYgjYM	0	absent	wayback	2026-09-15 20:59:48
tJ5tTfZfjFk	0	absent	wayback	2026-09-15 20:59:48
tamZCtZysbQ	0	absent	wayback	2026-09-15 20:59:48
tcLBGDBu2l8	0	absent	wayback	2026-09-15 20:59:48
tgYv7pb29yw	0	absent	wayback	2026-09-15 20:59:48
tu5a5Nqcu_U	0	absent	wayback	2026-09-15 20:59:48
uPB80LUdzvU	0	absent	wayback	2026-09-15 20:59:48
ukeq48CXuzI	0	absent	wayback	2026-09-15 20:59:48
vCEfdKv4mXE	0	absent	wayback	2026-09-15 20:59:48
vHepnY2CNXA	0	absent	wayback	2026-09-15 20:59:48
vttsvMKQ1Yw	0	absent	wayback	2026-09-15 20:59:48
w5E8mk3sVgI	0	absent	wayback	2026-09-15 20:59:48
wa41m4S7EK0	0	absent	wayback	2026-09-15 20:59:48
weuOX_R8Lwg	0	absent	wayback	2026-09-15 20:59:48
wrLM2fvseos	0	absent	wayback	2026-09-15 20:59:48
x1U_ZyMdSIM	0	absent	wayback	2026-09-15 20:59:48
x8yQAm1ua7s	0	absent	wayback	2026-09-15 20:59:48
xGpm_kAlnFo	0	absent	wayback	2026-09-15 20:59:48
xcvw7k_txpM	0	absent	wayback	2026-09-15 20:59:48
xnVijYba9k0	0	absent	wayback	2026-09-15 20:59:48
xqcrN82tNf4	0	absent	wayback	2026-09-15 20:59:48
y1ZzlAeOx4k	0	absent	wayback	2026-09-15 20:59:48
ySmGMxKC-kg	0	absent	wayback	2026-09-15 20:59:48
yaKNZlFjofI	0	absent	wayback	2026-09-15 20:59:48
zF81-Wd51Pk	0	absent	wayback	2026-09-15 20:59:48
zOvwh6qEprU	0	absent	wayback	2026-09-15 20:59:48
zjl0hxsQgxU	0	absent	wayback	2026-09-15 20:59:48
zuRl8Yq6SxY	0	absent	wayback	2026-09-15 20:59:48
